Gene	Non-unique_Gene_name	Annotation	No_isolates	No_sequences	Avg_sequences_per_isolate	Genome_Fragment	Order_within_Fragment	Accessory_Fragment	Accessory_Order_with_Fragment	QC	028_A3	033B	033E-replaced	033_A1	042B	042E	042_A1	054_V2	055_V1	067_A5	115_A2	161_A2	408_A1	442B	442E	442_A3	445_A2	447_A2	447_A3	489_A1	530B	530E	530_A2	552_A1	606_A3	cluster_id
group_1002		multidrug ABC transporter permease protein	25	25	1	1	511				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_1
aspS_2,aspS		aspartyl-tRNA synthetase,aspartyl-tRNA synthetase	2,25	2,25	1,1	1,1	32,3379	379	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_2
argD_2		acetylornithine aminotransferase domain protein	25	25	1	1	3389				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_3
group_1029,group_1028		thiamine monophosphate synthase/TENI family protein,thiamine monophosphate synthase/TENI family protein	1,25	1,25	1,1	1,1	3415,3414	411	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_4
leuS_2,leuS_1,leuS		leucyl-tRNA synthetase,leucyl-tRNA synthetase,leucyl-tRNA synthetase	1,2,25	1,2,25	1,1,1	1,1,1	3491,3493,3494	288,435	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_5
group_1035,group_1036,group_1037		hypothetical protein,hypothetical protein,hypothetical protein	25,8,1	25,8,1	1,1,1	1,1,1	952,951,950	107,107	2,3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_6
group_1043,group_1042,group_1044		putative membrane protein,putative membrane protein,putative membrane protein	2,25,1	2,25,1	1,1,1	1,1,1	993,995,895	353,400	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_7
nrtCD_2,nrtCD_1,nrtCD		nitrate ABC transporter ATPase subunits C and D,nitrate ABC transporter ATPase subunits C and D,nitrate ABC transporter ATPase subunits C and D	1,1,25	1,1,25	1,1,1	1,1,1	2309,2307,2310	185,185	4,2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_8
rsuA_2,rsuA		ribosomal small subunit pseudouridine synthase A,ribosomal small subunit pseudouridine synthase A	2,25	2,25	1,1	1,1	1971,2288	355	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_9
pilD		type IV prepillin peptidase PilD	25	25	1	1	2234				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_10
lnt,lnt_2,lnt_1		apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase	25,1,1	25,1,1	1,1,1	1,1,1	2097,2096,2030	456,321	1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_11
group_1111,group_1110,group_1107,group_1108,group_1109		glutathione-regulated potassium-efflux system protein KefC,glutathione-regulated potassium-efflux system protein KefC,glutathione-regulated potassium-efflux system protein KefC,glutathione-regulated potassium-efflux system protein KefC,glutathione-regulated potassium-efflux system protein KefC	1,1,25,1,1	1,1,25,1,1	1,1,1,1,1	1,1,1,1,1	3047,3049,3052,3046,3048	418,351,313,417	1,1,1,1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_12
group_1115		putative membrane protein	25	25	1	1	2583				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_13
group_1116		hypothetical protein	25	25	1	1	2573				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_14
mraW,mraW_1		S-adenosyl-methyltransferase MraW,S-adenosyl-methyltransferase MraW	25,1	25,1	1,1	1,1	2460,2441	176	4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_15
hisD,hisD_2		histidinol dehydrogenase,histidinol dehydrogenase	25,10	25,10	1,1	1,1	1615,1594	422	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_16
pstC,pstC_2		phosphate ABC transporter permease protein PstC,phosphate ABC transporter permease protein PstC	25,1	25,1	1,1	1,1	1632,1631	415	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_17
phoB_1,phoB		two-component system phosphate regulon response regulator PhoB,two-component system phosphate regulon response regulator PhoB	1,25	1,25	1,1	1,1	1591,1635	345	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	cluster_18
