028_A3	033B	033E-replaced	033_A1	042B	042E	042_A1	054_V2	055_V1	067_A5	115_A2	161_A2	408_A1	442B	442E	442_A3	445_A2	447_A2	447_A3	489_A1	530B	530E	530_A2	552_A1	606_A3
1742	1572	1572	1573	1609	1609	1501	1576	1618	1575	1612	1697	1566	1556	1558	1558	1588	1608	1609	1599	1609	1609	1609	1575	1572
1572	1672	1670	1671	1571	1571	1468	1596	1566	1582	1570	1559	1585	1614	1616	1615	1597	1571	1573	1580	1595	1595	1595	1591	1590
1572	1670	1672	1672	1573	1573	1469	1596	1568	1583	1571	1560	1585	1614	1616	1615	1596	1572	1574	1581	1597	1597	1597	1592	1590
1573	1671	1672	1673	1573	1573	1469	1596	1568	1583	1572	1560	1585	1615	1617	1616	1597	1573	1575	1582	1597	1597	1597	1592	1591
1609	1571	1573	1573	1715	1712	1567	1581	1640	1575	1566	1602	1566	1560	1562	1562	1576	1644	1646	1590	1566	1565	1566	1578	1562
1609	1571	1573	1573	1712	1713	1567	1581	1640	1575	1566	1602	1565	1560	1562	1562	1575	1644	1646	1590	1566	1565	1566	1577	1562
1501	1468	1469	1469	1567	1567	1614	1482	1525	1507	1470	1496	1470	1462	1464	1464	1517	1518	1521	1480	1478	1477	1478	1483	1471
1576	1596	1596	1596	1581	1581	1482	1681	1567	1572	1565	1571	1584	1589	1590	1589	1593	1581	1582	1601	1585	1587	1586	1597	1580
1618	1566	1568	1568	1640	1640	1525	1567	1854	1562	1625	1608	1557	1552	1554	1554	1573	1595	1597	1604	1633	1633	1633	1574	1557
1575	1582	1583	1583	1575	1575	1507	1572	1562	1715	1578	1556	1573	1576	1578	1578	1620	1577	1577	1570	1563	1563	1563	1606	1580
1612	1570	1571	1572	1566	1566	1470	1565	1625	1578	1678	1597	1564	1557	1559	1558	1577	1572	1573	1599	1631	1630	1631	1578	1568
1697	1559	1560	1560	1602	1602	1496	1571	1608	1556	1597	1712	1562	1547	1549	1548	1573	1598	1599	1580	1597	1597	1598	1566	1558
1566	1585	1585	1585	1566	1565	1470	1584	1557	1573	1564	1562	1659	1580	1582	1581	1607	1568	1570	1562	1583	1582	1583	1657	1648
1556	1614	1614	1615	1560	1560	1462	1589	1552	1576	1557	1547	1580	1649	1648	1647	1594	1563	1565	1566	1590	1589	1590	1583	1585
1558	1616	1616	1617	1562	1562	1464	1590	1554	1578	1559	1549	1582	1648	1650	1649	1595	1565	1567	1567	1592	1591	1592	1584	1586
1558	1615	1615	1616	1562	1562	1464	1589	1554	1578	1558	1548	1581	1647	1649	1650	1595	1565	1567	1567	1592	1590	1591	1584	1586
1588	1597	1596	1597	1576	1575	1517	1593	1573	1620	1577	1573	1607	1594	1595	1595	1718	1581	1583	1576	1611	1611	1612	1625	1614
1608	1571	1572	1573	1644	1644	1518	1581	1595	1577	1572	1598	1568	1563	1565	1565	1581	1671	1669	1584	1565	1565	1565	1579	1575
1609	1573	1574	1575	1646	1646	1521	1582	1597	1577	1573	1599	1570	1565	1567	1567	1583	1669	1672	1586	1567	1567	1567	1581	1578
1599	1580	1581	1582	1590	1590	1480	1601	1604	1570	1599	1580	1562	1566	1567	1567	1576	1584	1586	1683	1604	1601	1603	1581	1570
1609	1595	1597	1597	1566	1566	1478	1585	1633	1563	1631	1597	1583	1590	1592	1592	1611	1565	1567	1604	1727	1724	1726	1597	1580
1609	1595	1597	1597	1565	1565	1477	1587	1633	1563	1630	1597	1582	1589	1591	1590	1611	1565	1567	1601	1724	1730	1726	1596	1580
1609	1595	1597	1597	1566	1566	1478	1586	1633	1563	1631	1598	1583	1590	1592	1591	1612	1565	1567	1603	1726	1726	1728	1596	1579
1575	1591	1592	1592	1578	1577	1483	1597	1574	1606	1578	1566	1657	1583	1584	1584	1625	1579	1581	1581	1597	1596	1596	1728	1652
1572	1590	1590	1591	1562	1562	1471	1580	1557	1580	1568	1558	1648	1585	1586	1586	1614	1575	1578	1570	1580	1580	1579	1652	1670
