"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"group_1002","","multidrug ABC transporter permease protein","25","25","1","1","511","","","","L_01151___25320","L_00934___61404","L_00936___68919","L_00927___17261","L_01055___80570","L_00991___76548","L_01392___29806","L_00955","L_00456___31704","L_01041___37106","L_00987___41393","L_01028___45237","L_00024___7607","L_00917___72672","L_00914___65169","L_00914___1887","L_01044___49103","L_00277___90811","L_00980___57693","L_00997___5790","L_00994___84406","L_01013___88347","L_00969___21113","L_01794___15025","L_02029___55510"
"aspS_2	aspS","","aspartyl-tRNA synthetase	aspartyl-tRNA synthetase","2	25","2	25","1	1","1	1","32	3379","379","1","","L_01346___25720","L_01189___61926","L_01180___69418","L_01174___17766","L_01251___80972","L_01183___76942","L_00124___27185	L_00123___27183","L_01195","L_00254___31290","L_01262___37557","L_01181___41791","L_01217___45626","L_00281___8132","L_01165___73179","L_01158___65668","L_01161___2392","L_01324___49672","L_00469___91205","L_01174___58091","L_01194___6194","L_01240___84910","L_01264___88860","L_01212___21611","L_00109___11544	L_00110___11546","L_01737___54916"
"argD_2","","acetylornithine aminotransferase domain protein","25","25","1","1","3389","","","","L_01354___25736","L_01197___61942","L_01188___69434","L_01182___17782","L_01259___80988","L_01192___76960","L_00116___27169","L_01202","L_00246___31274","L_01270___37573","L_01189___41807","L_01223___45638","L_00288___8146","L_01172___73193","L_01165___65682","L_01169___2408","L_01333___49690","L_00476___91219","L_01181___58105","L_01203___6212","L_01248___84926","L_01273___88878","L_01221___21629","L_00118___11562","L_01728___54898"
"group_1029	group_1028","","thiamine monophosphate synthase/TENI family protein	thiamine monophosphate synthase/TENI family protein","1	25","1	25","1	1","1	1","3415	3414","411","1","","L_01380___25790","L_01222___61994","L_01214___69488","L_01207___17834","L_01287___81046","L_01219___77016","L_01015___29018","L_01228","L_00218___31215","L_01293___37621","L_01214___41859","L_01249___45692","L_00308___8188","L_01193___73237","L_01185___65724","L_01190___2452","L_01356___49738	L_01355___49736","L_00504___91277","L_01208___58161","L_01228___6264","L_01267___84967","L_01293___88921","L_01240___21670","L_00138___11604","L_01706___54851"
"leuS_2	leuS_1	leuS","","leucyl-tRNA synthetase	leucyl-tRNA synthetase	leucyl-tRNA synthetase","1	2	25","1	2	25","1	1	1","1	1	1","3491	3493	3494","288	435","1	1","","L_01447___25929","L_01289___62133","L_01281___69627","L_01274___17973","L_01355___81187","L_01287___77157","L_00946___28875	L_01071___29132","L_01294","L_00154___31081","L_01366___37772","L_01281___41998","L_01314___45828","L_00376___8329","L_01257___73370","L_01250___65859","L_01255___2587","L_01429___49890	L_01430___49892","L_00570___91414","L_01277___58304","L_01294___6401","L_01333___85105","L_01360___89061","L_01307___21810","L_00205___11743","L_01630___54694	L_01629___54692"
"group_1035	group_1036	group_1037","","hypothetical protein	hypothetical protein	hypothetical protein","25	8	1","25	8	1","1	1	1","1	1	1","952	951	950","107	107","2	3","","L_01505___26051","L_01349___62259","L_01339___69749","L_01333___18097","L_01414___81311	L_01415___81313","L_01345___77279","L_00871___28723	L_00870___28721","L_01353","L_00096___30959","L_01437___37920	L_01438___37922	L_01439___37924","L_01339___42120","L_01372___45950","L_00435___8453","L_01316___73494","L_01308___65981	L_01309___65983","L_01314___2711","L_01495___50028	L_01496___50030","L_00630___91540","L_01338___58432","L_01354___6527	L_01355___6529","L_01394___85233","L_01421___89189	L_01422___89191","L_01365___21932","L_00266___11871","L_01561___54550	L_01560___54548"
"group_1043	group_1042	group_1044","","putative membrane protein	putative membrane protein	putative membrane protein","2	25	1","2	25	1","1	1	1","1	1	1","993	995	895","353	400","1	1","","L_01540___26128","L_01385___62338","L_01374___69826","L_01368___18174","L_01452___81394","L_01381___77358","L_00833___28640","L_01389","L_00060___30881","L_01481___38015	L_01480___38013","L_01375___42199","L_01407___46027","L_00471___8532","L_01353___73575","L_01344___66060","L_01350___2790","L_01537___50119","L_00663___91613	L_00664___91615","L_01372___58507","L_01392___6609","L_01429___85309","L_01459___89271","L_01401___22010","L_00302___11950","L_01519___54459	L_01518___54457"
"nrtCD_2	nrtCD_1	nrtCD","","nitrate ABC transporter ATPase subunits C and D	nitrate ABC transporter ATPase subunits C and D	nitrate ABC transporter ATPase subunits C and D","1	1	25","1	1	25","1	1	1","1	1	1","2309	2307	2310","185	185","4	2","","L_01674___26407","L_00035___59548","L_00035___67059","L_00034___15417","L_00080___78564","L_00036___74580","L_01770___30588","L_00043","L_01448___33751","L_00040___35049	L_00039___35047","L_00033___39426","L_00033___43185","L_00952___9526","L_00042___70865","L_00042___63368","L_00041___84","L_00040___47038","L_01166___92650","L_00036___55748","L_00034___3807","L_00035___82425","L_00035___86329","L_00034___19180","L_00868___13117","L_00960___53310	L_00961___53312"
"rsuA_2	rsuA","","ribosomal small subunit pseudouridine synthase A	ribosomal small subunit pseudouridine synthase A","2	25","2	25","1	1","1	1","1971	2288","355","1","","L_01690___26440","L_00049___59577","L_00049___67088","L_00048___15446","L_00094___78593","L_00051___74611","L_01755___30557","L_00057","L_01432___33718","L_00057___35084","L_00047___39455","L_00047___43214","L_00966___9555","L_00056___70894","L_00056___63397","L_00056___115","L_00058___47075","L_01181___92681","L_00050___55777","L_00048___3836","L_00049___82454","L_00050___86360","L_00048___19209","L_00884___13150	L_00883___13148","L_00940___53269	L_00941___53271"
"pilD","","type IV prepillin peptidase PilD","25","25","1","1","2234","","","","L_01742___26549","L_00099___59681","L_00100___67194","L_00099___15552","L_00146___78702","L_00103___74720","L_01703___30448","L_00110","L_01378___33606","L_00117___35208","L_00101___39568","L_00100___43325","L_01016___9660","L_00109___71004","L_00109___63507","L_00109___225","L_00114___47193","L_01232___92788","L_00100___55882","L_00099___3942","L_00102___82565","L_00104___86473","L_00101___19320","L_00935___13257","L_00889___53163"
